YEAR,COMPUTERS,ELECTRICAL,MECHANICAL
2011,4280,4415,4610
2012,4276,4401,4609
2013,4271,4409,4599
2014,4265,4398,4589
2015,4261,4395,4587
2016,4201,4387,4576
2017,4290,4381,4581
2018,4206,4378,4532
