YEAR,COMPUTERS,ELECTRICAL,CHEMICAL,CIVIL,MECHANICAL
2011,2509,2949,3996,3664,3222
2012,1849,2799,4258,3636,2959
2013,1447,2557,4289,3751,2906
2014,1106,2380,3988,3631,2656
2015,877,2525,4358,4110,2906
2016,770,2627,4719,4582,3189
2017,907,2824,5089,5161,3552
2018,903,2817,5562,5774,3647
