YEAR,COMPUTERS,ELECTRICAL,CHEMICAL,CIVIL,MECHANICAL
2011,263,380,1782,2120,771
2012,256,383,1756,2200,776
2013,243,376,1765,2109,764
2014,231,365,1709,2089,758
2015,221,356,1678,2076,753
2016,219,345,1699,2054,743
2017,234,323,1675,2034,754
2018,215,312,1678,2012,732
