YEAR,COMPUTERS,ELECTRICAL,CHEMICAL,CIVIL,MECHANICAL
2011,317,556,1620,2009,840
2012,325,551,1611,2001,835
2013,302,534,1623,1996,824
2014,390,547,1546,1987,821
2015,290,521,1521,1876,821
2016,298,534,1532,1856,845
2017,213,432,1567,1567,789
2018,145,519,1433,1456,765
