YEAR,COMPUTERS,ELECTRICAL,MECHANICAL
2011,3787,4123,4262
2012,3709,4128,4123
2013,3701,4059,4567
2014,3677,4008,4112
2015,3698,3998,3879
2016,3654,3967,4009
2017,3577,3977,3980
2018,3548,3867,3975
