YEAR,COMPUTERS,EXTC,ELECTRICAL,CHEMICAL,CIVIL,MECHANICAL
2011,562,679,894,2026,2214,1083
2012,564,675,877,2008,2213,1075
2013,544,645,897,2076,2212,1034
2014,523,678,865,2034,2100,1045
2015,513,643,845,1998,2098,1022
2016,509,621,834,2001,2090,1098
2017,498,600,823,2098,2087,1006
2018,497,598,621,2003,2065,1007
