YEAR,COMPUTERS,EXTC,ELECTRICAL,CHEMICAL,CIVIL,MECHANICAL
2011,1032,1399,1709,2454,2490,1806
2012,961,1293,1681,2939,2761,1763
2013,766,1338,1741,3241,3039,1911
2014,663,1304,1710,3171,3038,1882
2015,557,1298,1709,3155,3000,1768
2016,544,1267,1699,3009,2433,1456
2017,539,1248,1687,2999,2789,1345
2018,516,1209,1645,2983,2546,980
