YEAR,COMPUTERS,ELECTRICAL,MECHANICAL
2011,3433,3879,4092
2012,2886,3862,4309
2013,1461,3710,4075
2014,2719,3445,3792
2015,2151,3802,4364
2016,1585,3681,4482
2017,1814,3939,4941
2018,1879,4124,5329
