YEAR,COMPUTERS,ELECTRICAL,MECHANICAL
2011,3635,3921,4069
2012,3611,3879,4008
2013,3609,3899,4001
2014,2988,3755,3989
2015,2978,3711,3966
2016,2987,3654,3876
2017,2900,3622,3768
2018,2897,3642,3755
